First Name,Last Name,Gender,Date of Birth,Contact Type
Sheri,Jimenez,Female,11/02/2001,Student
Ryan,Jones,Male,10/20/01,Student
Sandra,Bush,Female,11/16/04,Student
Dr.Sherri,Frazier,Female,12/09/1985,Faculty
Dr.Tanya,Stevenson,Female,1/18/65,Faculty
Dr.Kelsey,Lewis,Female,12/04/1969,Faculty
Alyssa,Lynch,Female,09/03/2004,Student
Dr.Leslie,Peters,Female,7/28/72,Faculty
John,Lewis,Male,4/13/03,Student
Margaret,Waller,Female,10/02/2004,Student
Dr.Jessica,Jenkins,Female,05/03/1988,Faculty
Crystal,Moran,Female,12/09/2002,Student
Lisa,Martin,Female,07/05/2003,Student
Jennifer,Black,Female,11/03/2004,Student
Darlene,Mcgee,Female,04/01/2001,Student
Joseph,Yates,Male,9/15/04,Student
Pamela,Howell,Female,11/23/02,Student
Dr.Ronald,Cook,Male,12/08/1985,Faculty
Christina,Garza,Female,04/06/2002,Student
Eugene,Lopez,Male,05/11/2003,Student
Tamara,Smith,Female,1/16/03,Student
Adam,Wilson,Male,11/12/2001,Student
Chad,Daniel,Male,8/26/00,Student
Tracy,Reed,Female,12/16/04,Student
Aaron,Olsen,Male,06/08/2002,Student
Dr.Matthew,Gibson,Male,03/12/1960,Faculty
Richard,Grimes,Male,4/23/02,Student
Edward,Schultz,Male,3/18/02,Student
Marc,Adams,Male,07/11/2004,Student
Elizabeth,Chen,Female,9/14/02,Student
Elizabeth,Sanchez,Female,10/21/00,Student
Dr.Randy,Johnson,Male,9/23/60,Faculty
William,Hill,Male,09/06/2004,Student
Joy,Jackson,Female,9/20/01,Student
Dr.Rebecca,Hurst,Female,12/09/1977,Faculty
Kimberly,Fleming,Female,06/04/2002,Student
Kevin,Robinson,Male,9/15/00,Student
Dr.Alexandra,Stewart,Female,1/19/55,Faculty
Jessica,Chavez,Female,11/08/2000,Student
April,Taylor,Female,4/20/04,Student
Kimberly,Vasquez,Female,6/21/05,Student
Matthew,Johnson,Male,07/12/2001,Student
Alexis,Perry,Male,11/18/00,Student
Cody,Esparza,Male,01/02/2001,Student
Kelsey,Finley,Female,3/16/01,Student
Michael,Nelson,Male,02/02/2001,Student
Dr.William,Yoder,Male,4/16/69,Faculty
Steven,Cooper,Male,5/27/03,Student
Dr.Brenda,Burke,Female,05/04/1969,Faculty
Eric,Conner,Male,06/01/2001,Student
Evelyn,Cook,Female,6/28/05,Student
Kimberly,Gross,Female,07/08/2004,Student
Julia,Robinson,Female,6/19/02,Student
Krista,Howell,Female,11/25/00,Student
Monica,Wood,Female,9/22/03,Student
Levi,Campbell,Male,09/11/2003,Student
Wendy,Hall,Female,6/24/03,Student
Anna,Hawkins,Female,12/28/03,Student
Jessica,Smith,Female,08/10/2001,Student
Felicia,Gregory,Female,7/28/04,Student
Todd,Walker,Male,5/19/03,Student
Kimberly,Rodriguez,Female,12/05/2004,Student
Walter,Hays,Male,03/09/2001,Student
Dr.Courtney,Morrison,Female,5/23/69,Faculty
Robin,Reynolds,Female,03/07/2003,Student
James,Campbell,Male,11/16/03,Student
Sarah,Mcclure,Female,4/13/02,Student
Nathan,Mcgee,Male,05/07/2005,Student
Tracy,Green,Female,4/17/01,Student
Dr.Debra,Hogan,Female,9/20/70,Faculty
Emily,Clayton,Female,9/17/03,Student
Meredith,Byrd,Female,10/16/01,Student
Gregory,Horn,Male,9/20/01,Student
Angela,Taylor,Female,6/25/04,Student
Kenneth,Lewis,Male,4/17/03,Student
Daniel,Simon,Male,1/24/03,Student
Todd,Carlson,Male,1/25/02,Student
Lisa,Lamb,Female,5/22/02,Student
Kristin,Conner,Female,1/29/05,Student
Danielle,Horton,Female,7/17/04,Student
Bradley,Phillips,Male,09/10/2003,Student
Dr.Vanessa,Cline,Female,08/11/1978,Faculty
Karen,Lynch,Female,9/14/02,Student
Jeffery,Lee,Male,05/12/2002,Student
Dale,Wallace,Male,2/27/05,Student
Meghan,Morris,Female,01/02/2005,Student
Valerie,Guzman,Female,11/03/2002,Student
Dr.Sean,Baldwin,Male,12/20/85,Faculty
William,Peters,Male,7/15/01,Student
Dr.Joan,Brown,Female,6/17/77,Faculty
Elizabeth,Blair,Female,04/03/2005,Student
Todd,Bailey,Male,6/23/02,Student
Dr.Ashley,Barnes,Female,3/14/58,Faculty
Amanda,Cox,Female,1/22/03,Student
John,Wilson,Male,9/14/04,Student
Stacy,Huber,Female,2/28/02,Student
Heidi,Cobb,Female,10/02/2001,Student
Carrie,Duarte,Female,10/23/03,Student
Megan,Brooks,Female,7/21/01,Student
Lauren,Smith,Female,01/12/2002,Student
Joseph,Pineda,Male,02/04/2003,Student
Dr.Caitlyn,Meadows,Female,3/19/70,Faculty
Dr.Daniel,Pena,Male,2/24/74,Faculty
Sharon,Hunt,Female,6/14/04,Student
William,Jones,Male,12/29/02,Student
Troy,English,Male,2/20/05,Student
Amy,Williamson,Female,7/22/02,Student
Megan,Shepard,Female,01/06/2001,Student
Dr.David,Mayo,Male,10/16/79,Faculty
Dr.Carolyn,Gray,Female,3/20/68,Faculty
Sarah,Wolf,Female,01/10/2005,Student
Eric,Shah,Male,12/17/03,Student
Taylor,Mccullough,Male,12/07/2003,Student
April,Castillo,Female,12/30/00,Student
Stephanie,Diaz,Female,07/05/2004,Student
Gary,Lewis,Male,10/07/2002,Student
Edward,Grimes,Male,2/23/03,Student
Jennifer,Cruz,Female,09/03/2001,Student
Tiffany,Duncan,Female,11/11/2001,Student
Lauren,Armstrong,Female,08/12/2003,Student
Heather,Phelps,Female,10/21/02,Student
Dr.Kylie,Wright,Female,6/29/57,Faculty
Robert,Parker,Male,8/26/01,Student
Timothy,Jones,Male,05/10/2005,Student
Dr.Joshua,Bowman,Male,8/28/54,Faculty
Drew,Figueroa,Male,5/19/02,Student
Cassandra,Long,Female,01/08/2001,Student
Dominic,Walker,Male,05/11/2003,Student
Michael,Taylor,Male,01/08/2004,Student
Danielle,Hunter,Female,6/24/04,Student
John,York,Male,04/08/2005,Student
Jill,Payne,Female,11/25/04,Student
Pamela,Gallegos,Female,05/05/2004,Student
Michelle,Cochran,Female,10/26/01,Student
Anthony,Graham,Male,1/16/05,Student
Kenneth,Jenkins,Male,8/19/01,Student
James,Luna,Male,04/06/2004,Student
Marie,Oneill,Female,4/18/04,Student
Dawn,Williams,Female,9/27/01,Student
Dr.Leslie,Campbell,Female,12/07/1975,Faculty
Kelly,Terry,Female,1/15/05,Student
Deborah,Flores,Female,9/14/00,Student
Suzanne,Whitaker,Female,2/26/04,Student
Taylor,Santana,Female,9/17/01,Student
Crystal,Reyes,Female,07/08/2002,Student
Dr.Kimberly,Walker,Female,9/25/56,Faculty
Michelle,Gomez,Female,1/31/01,Student
Mitchell,Frank,Male,01/11/2005,Student
Dr.Wayne,Curtis,Male,09/09/1973,Faculty
Dr.Dustin,Walter,Male,04/09/1964,Faculty
Jeffrey,Adams,Male,8/19/01,Student
Brandon,Underwood,Male,1/30/03,Student
Sarah,Taylor,Female,11/27/03,Student
Ryan,Ballard,Male,9/27/00,Student
Michael,Gibson,Male,3/31/03,Student
Carla,Becker,Female,05/01/2001,Student
Alexandra,Gutierrez,Female,4/22/05,Student
Tara,Smith,Female,12/21/03,Student
Megan,Padilla,Female,10/24/03,Student
Jason,Parker,Male,12/15/02,Student
Dr.Jacob,Nguyen,Male,08/07/1973,Faculty
Brenda,Moore,Female,07/05/2005,Student
Larry,Mcguire,Male,05/01/2004,Student
Carlos,Harris,Male,03/05/2003,Student
Natasha,Carter,Female,8/29/00,Student
Amber,Mcdowell,Female,1/28/02,Student
Natasha,Patel,Female,11/24/04,Student
Sabrina,Jones,Female,8/20/04,Student
Shawn,Wong,Male,03/06/2003,Student
Taylor,Stewart,Female,10/14/02,Student
Dr.Craig,Rodriguez,Male,6/23/81,Faculty
Dr.Gwendolyn,Oneal,Female,06/04/1984,Faculty
Anna,Simmons,Female,7/31/02,Student
Luke,Freeman,Male,11/05/2001,Student
Jennifer,Weaver,Female,12/31/00,Student
Kimberly,Zhang,Female,12/24/03,Student
Denise,Ramirez,Female,10/06/2000,Student
Danny,Fletcher,Male,07/08/2004,Student
Tiffany,Jensen,Female,05/09/2005,Student
Vincent,Kim,Male,9/22/03,Student
Jeffrey,Johnson,Male,02/05/2001,Student
Antonio,Scott,Male,07/04/2004,Student
Tracy,Henderson,Female,6/17/04,Student
Dr.Joseph,Wright,Male,11/10/1973,Faculty
Jessica,Rogers,Female,10/13/00,Student
Dr.Kelly,Campbell,Female,08/07/1982,Faculty
Aimee,Hurst,Female,5/15/03,Student
Angela,Ayala,Female,01/07/2002,Student
Dr.James,Long,Male,5/28/61,Faculty
Dr.Jason,Bell,Male,10/30/70,Faculty
Kimberly,Myers,Female,09/05/2000,Student
Paul,Graham,Male,06/08/2003,Student
Dr.Andrew,Clark,Male,3/15/62,Faculty
Janice,Foster,Female,10/23/00,Student
Nathan,Warren,Male,11/04/2002,Student
Dr.Rebecca,Martinez,Female,6/30/61,Faculty
Christian,Farrell,Male,12/12/2004,Student
Michael,Gray,Male,11/24/03,Student
Faith,Simpson,Female,9/16/03,Student
Jennifer,Lawrence,Female,12/24/01,Student
Dr.Sarah,Pitts,Female,10/05/1956,Faculty
Dr.Timothy,Colon,Male,2/21/73,Faculty
Megan,Carter,Female,4/24/03,Student
Dr.Sarah,Hunt,Female,11/28/55,Faculty
Sherry,Lewis,Female,7/20/05,Student
Kevin,Mcneil,Male,7/26/04,Student
Christopher,Guerrero,Male,4/29/02,Student
Dylan,Gonzalez,Male,2/15/05,Student
Scott,Perez,Male,2/28/03,Student
Ricardo,Chen,Male,12/09/2000,Student
Johnny,Miller,Male,9/16/03,Student
Katie,Hardy,Female,3/31/05,Student
Michelle,Oliver,Female,7/17/04,Student
Emily,Perez,Female,6/23/05,Student
Kevin,Smith,Male,02/11/2004,Student
Dr.Dennis,Walsh,Male,06/06/1961,Faculty
Dr.Katelyn,Carson,Female,7/27/78,Faculty
Dr.Sarah,Dennis,Female,2/29/64,Faculty
Dr.Susan,Ayers,Female,03/07/1980,Faculty
Matthew,Golden,Male,7/29/02,Student
Kelsey,Bailey,Female,8/16/02,Student
Megan,Tucker,Female,10/30/02,Student
Maria,Taylor,Female,05/05/2005,Student
Sheryl,Foster,Female,9/19/02,Student
Tammy,Manning,Female,7/26/05,Student
Phillip,Velasquez,Male,7/18/04,Student
Dr.Charles,Mills,Male,05/02/1974,Faculty
Nathan,Hernandez,Male,11/17/03,Student
Christopher,Burns,Male,01/05/2004,Student
Kimberly,Ramirez,Female,6/27/04,Student
Steven,Adams,Male,11/25/03,Student
Patricia,Haney,Female,8/23/00,Student
Dr.Hannah,Moore,Female,3/15/68,Faculty
Dr.Kimberly,Crawford,Female,6/30/60,Faculty
Dr.Linda,Palmer,Female,02/05/1958,Faculty
Kimberly,Vance,Female,4/17/01,Student
Matthew,Sanchez,Male,8/24/02,Student
Daniel,Jackson,Male,12/22/02,Student
Nathaniel,Bailey,Male,8/15/04,Student
Jeffrey,Lee,Male,6/19/01,Student
James,Hill,Male,12/27/00,Student
Robert,Gonzalez,Male,3/14/02,Student
Patricia,Hill,Female,1/27/02,Student
Dr.Jason,Holmes,Male,4/25/56,Faculty
Dr.Michael,Reynolds,Male,6/16/73,Faculty
Katherine,Hunt,Female,03/09/2005,Student
Dr.Bruce,Hodges,Male,06/09/1965,Faculty
Christopher,Jefferson,Male,12/23/00,Student
Lawrence,Yang,Male,3/25/01,Student
Nicole,Santos,Female,06/09/2005,Student
David,Nelson,Male,12/15/02,Student
Dr.Erik,Watson,Male,12/08/1970,Faculty
Reginald,Davis,Male,10/01/2002,Student
Kristen,Jones,Female,1/20/05,Student
Dr.Anita,Gonzalez,Female,05/02/1954,Faculty
Joseph,Hill,Male,11/09/2001,Student
Desiree,Mcgrath,Female,3/27/01,Student
Melissa,Burke,Female,02/11/2003,Student
Cynthia,Armstrong,Female,7/20/02,Student
Eric,Ochoa,Male,03/06/2002,Student
Jennifer,Campbell,Female,3/26/03,Student
Mary,Daugherty,Female,07/06/2004,Student
Dr.James,Lewis,Male,2/19/79,Faculty
Lisa,Case,Female,12/15/02,Student
Alicia,Smith,Female,2/23/01,Student
Robert,Thomas,Male,10/23/00,Student
Dr.Andrew,Tate,Male,09/02/1955,Faculty
Dr.Christina,Medina,Female,6/22/74,Faculty
Anita,Marshall,Female,2/20/03,Student
Amanda,Patton,Female,2/27/03,Student
Dr.Amber,Chapman,Female,8/14/80,Faculty
Patricia,Roberts,Female,03/04/2002,Student
Shane,Morgan,Male,12/11/2000,Student
Heather,Conley,Female,1/28/04,Student
Amanda,Franklin,Female,4/28/02,Student
Michael,Holt,Male,12/24/02,Student
Dr.Joshua,Davis,Male,01/04/1968,Faculty
Scott,Garcia,Male,1/27/05,Student
David,Mcdonald,Male,05/02/2003,Student
Cameron,Kline,Male,12/08/2001,Student
Shirley,Gray,Female,04/06/2002,Student
Jasmine,Miller,Female,10/02/2001,Student
Aaron,Shields,Male,05/08/2003,Student
Tara,Davis,Female,10/03/2004,Student
Paul,Wilson,Male,5/24/02,Student
Laura,Phelps,Female,9/30/03,Student
John,Rose,Male,09/08/2003,Student
Matthew,Campos,Male,11/04/2000,Student
Kenneth,Carrillo,Male,12/06/2002,Student
Carmen,Cox,Female,5/14/05,Student
Brandon,Briggs,Male,04/07/2002,Student
Brian,Carpenter,Male,6/14/04,Student
Emily,Hall,Female,9/29/04,Student
Sierra,Russell,Female,7/15/03,Student
Alexis,Davis,Female,08/06/2002,Student
Dr.Shannon,Sutton,Female,08/09/1981,Faculty
John,Watts,Male,11/05/2001,Student
Dr.Anthony,Wright,Male,05/02/1989,Faculty
Alexandra,Simpson,Female,5/13/02,Student
Elizabeth,Norris,Female,7/21/04,Student
Nicholas,Cervantes,Male,01/12/2004,Student
Nicole,Morton,Female,9/25/02,Student
Kenneth,Smith,Male,2/27/01,Student
Jennifer,Jones,Female,10/24/03,Student
Joshua,Duncan,Male,3/15/03,Student
Dr.Amy,Martinez,Female,5/31/84,Faculty
Jennifer,Acosta,Female,11/07/2000,Student
Kiara,Owens,Female,12/01/2003,Student
Patrick,Davidson,Male,5/13/04,Student
Paul,Delacruz,Male,12/03/2001,Student
Shawn,Decker,Male,01/06/2002,Student
John,Butler,Male,07/05/2001,Student
Cheryl,Carter,Female,08/08/2000,Student
David,Phillips,Male,11/11/2004,Student
Donald,Cook,Male,10/19/00,Student
Dr.Susan,Dominguez,Female,1/23/57,Faculty
Dr.William,Hogan,Male,9/29/75,Faculty
Dr.Anthony,Mcclain,Male,10/20/69,Faculty
Mary,Garner,Female,12/11/2002,Student
Thomas,Weiss,Male,11/22/03,Student
Samuel,Wood,Male,9/22/03,Student
Nancy,Williamson,Female,7/23/05,Student
Randy,Carson,Male,11/11/2001,Student
Rebecca,Johnson,Female,11/08/2004,Student
Andrea,Rice,Female,3/31/05,Student
Antonio,Harrell,Male,5/17/04,Student
Ronald,Stephens,Male,11/01/2002,Student
Connie,Wells,Female,6/19/01,Student
Kristina,Levine,Female,05/10/2003,Student
Tracy,Porter,Female,02/01/2001,Student
Karina,Hayes,Female,3/27/04,Student
Ryan,Horn,Male,5/25/01,Student
David,Mullins,Male,10/03/2001,Student
Dr.Nicholas,Graves,Male,10/16/57,Faculty
Dr.Michael,Gray,Male,02/11/1969,Faculty
Zachary,Sims,Male,9/27/00,Student
Curtis,Rivas,Male,5/18/03,Student
Dr.Lisa,Swanson,Female,01/12/1975,Faculty
Angela,Jenkins,Female,10/18/00,Student
Dr.Adam,Perez,Male,12/05/1986,Faculty
Stephen,Jarvis,Male,07/10/2005,Student
Monique,Wood,Female,10/28/00,Student
Katherine,Spencer,Female,9/15/02,Student
Holly,Riddle,Female,08/01/2005,Student
Jessica,Scott,Female,10/07/2000,Student
Eugene,Heath,Male,7/15/05,Student
Gabrielle,Williams,Female,10/24/00,Student
David,Olson,Male,06/03/2001,Student
Dominique,Bryant,Female,11/04/2002,Student
Brian,Carter,Male,2/28/03,Student
Dr.Rachel,Simon,Female,12/26/67,Faculty
Tara,Lee,Female,07/09/2004,Student
Susan,Freeman,Female,10/07/2000,Student
Dr.Amy,Parsons,Female,12/08/1968,Faculty
Alyssa,Brennan,Female,6/26/05,Student
Justin,Lucero,Male,10/20/01,Student
Dr.Paul,Norman,Male,06/10/1977,Faculty
Darlene,Wilson,Female,2/15/05,Student
Dr.Jason,Blanchard,Male,11/08/1986,Faculty
Tamara,Davis,Female,2/17/03,Student
Stephanie,Price,Female,10/27/03,Student
Diane,Harris,Female,11/15/00,Student
Dr.Maria,Wong,Female,3/21/54,Faculty
Brianna,Keller,Female,12/30/00,Student
Jeffrey,Perez,Male,3/25/05,Student
Dr.Crystal,Cortez,Female,7/16/63,Faculty
Andrew,Rice,Male,07/10/2001,Student
Michael,Cunningham,Male,1/20/05,Student
Jenna,Ramirez,Female,4/16/01,Student
Anthony,Luna,Male,04/04/2003,Student
Lauren,Rangel,Female,9/27/04,Student
Jessica,Houston,Female,5/21/03,Student
Sandy,Lee,Female,06/03/2001,Student
Elijah,Jones,Male,11/03/2004,Student
Luke,Smith,Male,6/15/02,Student
Dr.Brenda,Woods,Female,6/26/59,Faculty
Christopher,Oneal,Male,03/06/2003,Student
Eugene,Thomas,Male,06/02/2003,Student
Roger,Johnson,Male,2/26/05,Student
Kristopher,Rocha,Male,12/26/00,Student
Dr.Ariel,Hodges,Female,06/03/1970,Faculty
Christine,Vega,Female,10/17/02,Student
Bruce,Bryant,Male,10/13/04,Student
Shawn,Steele,Male,7/14/03,Student
Kristen,Carlson,Female,3/21/02,Student
Ryan,Williams,Male,02/05/2004,Student
Shawn,Fox,Male,04/12/2004,Student
Scott,Cooper,Male,11/26/04,Student
Joseph,Coleman,Male,5/18/02,Student
Ryan,Salinas,Male,10/26/03,Student
Tanya,Williams,Female,06/12/2004,Student
Joseph,Reynolds,Male,09/03/2004,Student
Karen,Bennett,Female,02/02/2003,Student
Renee,Evans,Female,5/27/03,Student
Heather,Hunt,Female,2/20/05,Student
Oscar,Newton,Male,7/17/02,Student
Dr.Shannon,Thomas,Female,1/17/81,Faculty
David,Long,Male,04/10/2001,Student
Dr.Lisa,Turner,Female,06/08/1954,Faculty
Ashley,Burns,Female,02/12/2005,Student
Stephanie,Carter,Female,01/06/2005,Student
Dr.Tonya,Perez,Female,11/06/1958,Faculty
Bobby,Peters,Male,12/31/03,Student
Nicholas,Miller,Male,4/28/03,Student
Dr.Diana,Lang,Female,09/08/1974,Faculty
Dr.Larry,Craig,Male,3/21/63,Faculty
Robert,Mayo,Male,9/16/02,Student
Dr.Thomas,Jones,Male,09/01/1976,Faculty
Heather,Strong,Female,1/23/02,Student
Jacob,Williams,Male,9/15/00,Student
Meagan,Miller,Female,12/15/04,Student
Dr.Zachary,Reed,Male,3/16/75,Faculty
Kimberly,Collins,Female,4/14/04,Student
Kayla,Ramirez,Female,06/02/2004,Student
Jason,Mcclure,Male,8/13/01,Student
Leslie,Santiago,Female,12/14/01,Student
Joshua,Woodward,Male,8/23/01,Student
Brett,Kline,Male,10/19/03,Student
Sonia,Berry,Female,2/15/05,Student
Jill,Cook,Female,9/23/03,Student
Dr.Joel,Russell,Male,11/04/1984,Faculty
Christopher,Davis,Male,09/08/2001,Student
Carl,Kelley,Male,11/25/04,Student
Scott,Moore,Male,9/14/03,Student
Teresa,Leach,Female,2/15/01,Student
Monica,Smith,Female,2/28/02,Student
Timothy,Ochoa,Male,01/04/2001,Student
Jeremy,Gaines,Male,5/25/05,Student
Jason,Jacobs,Male,08/03/2002,Student
Dr.Danielle,Wilson,Female,12/23/57,Faculty
Jeffrey,Gilmore,Male,09/04/2003,Student
Elizabeth,Mueller,Female,5/30/03,Student
Kathryn,Caldwell,Female,7/19/05,Student
Dr.Stacey,Downs,Female,11/23/59,Faculty
Dr.Nicole,Rivera,Female,7/18/54,Faculty
Dr.Kathryn,Jimenez,Female,1/29/65,Faculty
Madeline,Carter,Female,04/09/2004,Student
Travis,White,Male,10/13/03,Student
Dr.Teresa,Dixon,Female,07/04/1961,Faculty
Daniel,Lewis,Male,8/16/03,Student
Joshua,Montgomery,Male,1/17/04,Student
Dr.Shannon,Harris,Female,2/27/84,Faculty
Regina,Campbell,Female,8/29/02,Student
Michael,Adams,Male,7/15/05,Student
Elizabeth,Bradley,Female,10/11/2002,Student
James,Holder,Male,9/30/00,Student
Danielle,Walker,Female,7/23/03,Student
Derek,Francis,Male,11/26/04,Student
Antonio,Gray,Male,04/02/2001,Student
Dr.Jennifer,Lee,Female,2/20/83,Faculty
Dakota,Smith,Male,11/17/04,Student
Matthew,Buck,Male,07/08/2002,Student
Samantha,Davis,Female,8/24/04,Student
Donald,Marshall,Male,8/27/01,Student
Ronald,Hoffman,Male,06/08/2001,Student
Nicholas,Wright,Male,05/05/2002,Student
Diane,Gardner,Female,5/15/03,Student
Dr.Kristen,Robinson,Female,6/14/74,Faculty
Matthew,Grimes,Male,5/18/04,Student
Dr.Laura,Walker,Female,12/26/86,Faculty
Jessica,Maldonado,Female,6/18/05,Student
Dawn,Allen,Female,4/14/05,Student
Ellen,Ellis,Female,06/06/2001,Student
Anthony,Rodriguez,Male,9/21/02,Student
Jessica,Glass,Female,8/27/04,Student
Stacy,Johnson,Female,10/13/04,Student
Lonnie,Garza,Male,3/13/05,Student
Amy,Best,Female,7/28/04,Student
Veronica,Fry,Female,06/10/2002,Student
Linda,Hurst,Female,05/10/2003,Student
Sharon,Griffin,Female,02/10/2004,Student
Susan,Garza,Female,12/26/03,Student
Brianna,Richardson,Female,7/26/05,Student
Billy,Sheppard,Male,5/31/02,Student
Kristine,Floyd,Female,2/13/04,Student
Christopher,Smith,Male,03/07/2003,Student
Julie,Owens,Female,4/20/04,Student
Micheal,Bishop,Male,10/31/03,Student
Sandy,Morrison,Female,1/28/03,Student
Dr.Adam,Stark,Male,6/18/81,Faculty
Christopher,Burch,Male,8/27/03,Student
Carolyn,Browning,Female,11/28/04,Student
Susan,Walsh,Female,10/31/01,Student
Dr.Jonathan,Holland,Male,5/21/78,Faculty
Richard,Wilkins,Male,9/20/03,Student
Dr.Duane,Jackson,Male,9/14/82,Faculty
Barbara,Taylor,Female,01/01/2005,Student
Kenneth,Chambers,Male,8/16/03,Student
Sarah,Campbell,Female,12/29/00,Student
Tina,Wallace,Female,10/21/04,Student
Dr.Michael,Ballard,Male,01/04/1963,Faculty
Dr.Joshua,Vincent,Male,10/27/85,Faculty
Geoffrey,Martin,Male,10/21/04,Student
Christy,Hodges,Female,03/05/2005,Student
Travis,Harvey,Male,4/26/02,Student
Dr.Wendy,Riley,Female,04/01/1965,Faculty
Brenda,Bridges,Female,7/15/05,Student
Dr.Anne,Lopez,Female,06/06/1987,Faculty
Dr.Karen,Torres,Female,3/28/87,Faculty
Erik,Williams,Male,12/16/03,Student
Matthew,Shaw,Male,1/13/02,Student
Aaron,Gilbert,Male,7/19/01,Student
Lori,Abbott,Female,8/13/04,Student
Nancy,Vasquez,Female,4/25/01,Student
Jane,Hudson,Female,08/12/2002,Student
Dr.Samantha,Larsen,Female,12/29/78,Faculty
Dr.Kelly,Berry,Female,4/28/60,Faculty
Thomas,Williams,Male,11/25/00,Student
Daniel,Yoder,Male,9/28/04,Student
Robin,Chapman,Female,03/05/2005,Student
Jonathan,Bailey,Male,12/29/00,Student
Andrea,Durham,Female,4/30/05,Student
William,Norman,Male,04/01/2003,Student
Andrew,Fuentes,Male,08/07/2001,Student
Jessica,Nichols,Female,5/26/03,Student
Richard,Martin,Male,2/17/02,Student
Denise,Rasmussen,Female,12/16/01,Student
Dr.Caroline,Ingram,Female,11/05/1974,Faculty
Nicholas,Chen,Male,01/12/2005,Student
Ryan,Martinez,Male,4/20/05,Student
Judy,Powell,Female,06/09/2001,Student
Dr.Karen,Barnes,Female,05/04/1963,Faculty
Stephanie,Graves,Female,11/01/2002,Student
Dr.Laurie,Delgado,Female,10/23/55,Faculty
Peter,Patterson,Male,10/02/2002,Student
Jonathan,Mclean,Male,10/22/03,Student
Brian,Burke,Male,12/08/2002,Student
Dr.Gregory,Bennett,Male,12/02/1972,Faculty
Jennifer,Conner,Female,07/05/2003,Student
Dennis,Marshall,Male,2/17/05,Student
Jonathan,Green,Male,01/03/2003,Student
Kayla,Soto,Female,10/27/01,Student
Sydney,Thomas,Female,7/17/05,Student
Robert,Reed,Male,02/07/2004,Student
Dawn,Simmons,Female,5/17/02,Student
Dr.Peter,Alexander,Male,6/24/60,Faculty
Dr.Patricia,Browning,Female,10/08/1984,Faculty
Lauren,Patterson,Female,1/28/04,Student
Dr.Daniel,Jimenez,Male,02/03/1967,Faculty
Wesley,Hayes,Male,4/24/02,Student
Christopher,Mccoy,Male,12/26/01,Student
James,Lopez,Male,05/07/2004,Student
Debra,Jackson,Female,9/17/03,Student
Amanda,Jones,Female,12/25/04,Student
Amanda,James,Female,05/04/2004,Student
April,Smith,Female,02/12/2003,Student
Chloe,Hines,Female,1/25/04,Student
Dr.Sarah,Dawson,Female,6/29/55,Faculty
George,Jarvis,Male,5/17/01,Student
Sherry,Arnold,Female,8/15/02,Student
Bryan,Dixon,Male,01/12/2001,Student
Dr.Aaron,Scott,Male,04/03/1988,Faculty
Daniel,Christian,Male,3/17/02,Student
Jake,Stewart,Male,11/28/00,Student
Cindy,Stephenson,Female,9/29/01,Student
Joseph,Le,Male,11/10/2003,Student
Claudia,Thompson,Female,01/06/2002,Student
Dr.Kathleen,Gentry,Female,12/13/80,Faculty
Wendy,Fuller,Female,11/03/2004,Student
Sandra,Grant,Female,5/23/02,Student
Bruce,Williams,Male,12/01/2000,Student
William,Contreras,Male,7/30/05,Student
Rebekah,Johnson,Female,9/22/00,Student
Jennifer,Jackson,Female,11/02/2002,Student
Jordan,Gonzales,Female,3/18/04,Student
Dr.Michael,Rich,Male,8/17/73,Faculty
Daniel,White,Male,2/21/01,Student
Dr.Michael,Chandler,Male,7/17/65,Faculty
Dr.Amanda,Hall,Female,2/27/78,Faculty
Betty,Jennings,Female,9/16/00,Student
Dr.Randall,Chase,Male,1/18/78,Faculty
Ashlee,Barnett,Female,07/05/2001,Student
Adam,Wells,Male,4/26/03,Student
Linda,Estrada,Female,3/15/04,Student
Craig,Smith,Male,08/01/2003,Student
Phillip,Bradley,Male,1/24/03,Student
Charles,Serrano,Male,8/31/03,Student
John,White,Male,10/03/2004,Student
Yvonne,Riggs,Female,06/12/2005,Student
Deborah,Hayes,Female,4/23/04,Student
Mark,Holder,Male,1/30/04,Student
Cynthia,Cummings,Female,7/20/01,Student
Dr.Tara,Short,Female,7/17/60,Faculty
Joseph,Young,Male,9/19/04,Student
Diana,Gallegos,Female,5/22/01,Student
Mark,Snyder,Male,04/07/2002,Student
Elizabeth,Davidson,Female,9/19/00,Student
Evan,Young,Male,02/10/2005,Student
Madeline,Quinn,Female,3/24/03,Student
Kelly,Mooney,Female,10/16/04,Student
Charlene,Combs,Female,4/15/05,Student
Gregory,Matthews,Male,03/12/2001,Student
Dr.Nathaniel,Morgan,Male,12/13/80,Faculty
Andrea,Dalton,Female,04/03/2005,Student
Timothy,Bradford,Male,05/08/2003,Student
Suzanne,Mitchell,Female,12/13/02,Student
Dr.Kara,Richardson,Female,03/09/1981,Faculty
Shirley,Patterson,Female,3/30/02,Student
Dr.Brian,Woods,Male,3/22/71,Faculty
Janice,Mcpherson,Female,5/17/04,Student
Dr.Molly,Garza,Female,4/20/73,Faculty
Matthew,Calderon,Male,5/24/05,Student
Evan,Steele,Male,04/10/2005,Student
Emily,Brown,Female,07/07/2003,Student
Nichole,Stark,Female,12/12/2002,Student
Travis,Rose,Male,4/16/04,Student
Lori,Schneider,Female,03/03/2005,Student
Dr.Stephanie,Gamble,Female,12/19/73,Faculty
